0.000, 0.000, 0.000,  0.000
0.999, 0.100, 0.000,  0.020
0.999, 0.200, 0.000,  0.420
0.999, 0.300, 0.001,  0.820
0.999, 0.400, 0.008,  1.220
0.999, 0.500, 0.041,  1.620
0.999, 0.600, 0.029,  2.020
0.999, 0.700, 0.243,  2.420
0.999, 0.800, 0.433,  2.820
0.915, 0.900, 0.702,  3.220
0.708, 0.937, 1.105,  3.620
0.477, 0.831, 1.662,  4.020
0.296, 0.601, 2.220,  4.420
0.177, 0.000, 2.647,  4.820
0.111, 0.000, 2.831,  5.220
0.084, 0.000, 2.747,  5.620
0.073, 0.000, 2.556,  6.020
0.069, 0.000, 2.331,  6.420
0.070, 0.100, 2.105,  6.820
0.080, 0.200, 1.851,  7.220
0.080, 0.300, 1.692,  7.620
0.072, 0.400, 1.598,  8.020
0.052, 0.500, 1.571,  8.420
0.021, 0.600, 1.621,  8.820
-0.020, 0.700, 1.763,  9.220
-0.065, 0.638, 2.029,  9.620
-0.098, 0.000, 2.308, 10.020
-0.112, 0.000, 2.431, 10.420
-0.111, 0.000, 2.340, 10.820
-0.105, 0.100, 2.172, 11.220
-0.096, 0.200, 1.949, 11.620
-0.090, 0.300, 1.799, 12.020
-0.088, 0.400, 1.708, 12.420
-0.090, 0.500, 1.682, 12.820
-0.096, 0.600, 1.730, 13.220
-0.105, 0.700, 1.868, 13.620
-0.115, 0.676, 2.126, 14.020
-0.120, 0.547, 2.398, 14.420
-0.120, 0.000, 2.619, 14.820
-0.115, 0.000, 2.685, 15.220
-0.108, 0.000, 2.558, 15.620
-0.100, 0.100, 2.363, 16.020
-0.092, 0.200, 2.114, 16.420
-0.086, 0.300, 1.953, 16.820
-0.081, 0.400, 1.857, 17.220
-0.078, 0.500, 1.827, 17.620
-0.077, 0.600, 1.874, 18.020
-0.076, 0.700, 2.011, 18.420
-0.076, 0.733, 2.255, 18.820
-0.074, 0.620, 2.525, 19.220
-0.070, 0.000, 2.775, 19.620
-0.066, 0.000, 2.880, 20.020
-0.060, 0.100, 2.761, 20.420
-0.055, 0.200, 2.541, 20.820
-0.051, 0.300, 2.360, 21.220
-0.047, 0.400, 2.250, 21.620
-0.044, 0.500, 2.215, 22.020
-0.042, 0.600, 2.252, 22.420
-0.040, 0.700, 2.377, 22.820
-0.038, 0.707, 2.573, 23.220
-0.036, 0.607, 2.809, 23.620
-0.033, 0.000, 3.032, 24.020
-0.031, 0.000, 3.117, 24.420
-0.028, 0.100, 2.979, 24.820
-0.025, 0.200, 2.743, 25.220
-0.023, 0.300, 2.544, 25.620
-0.021, 0.400, 2.415, 26.020
-0.019, 0.500, 2.370, 26.420
-0.018, 0.600, 2.406, 26.820
-0.017, 0.700, 2.517, 27.220
-0.016, 0.793, 2.700, 27.620
-0.015, 0.709, 2.951, 28.020
